,Team,NOC
0,China,CHN
1,China,CHN
2,Netherlands,NED
3,Netherlands,NED
4,Netherlands,NED
5,Netherlands,NED
6,Netherlands,NED
7,Netherlands,NED
8,United States,USA
9,United States,USA
10,United States,USA
11,United States,USA
12,United States,USA
13,United States,USA
14,United States,USA
15,United States,USA
16,United States,USA
17,United States,USA
18,United States,USA
19,United States,USA
20,United States,USA
21,United States,USA
22,United States,USA
23,United States,USA
24,Finland,FIN
25,Finland,FIN
26,Finland,FIN
27,Finland,FIN
28,Finland,FIN
29,Finland,FIN
30,Finland,FIN
31,Finland,FIN
32,Finland,FIN
33,Finland,FIN
34,Finland,FIN
35,Finland,FIN
36,Finland,FIN
37,Finland,FIN
38,Finland,FIN
39,Finland,FIN
40,Finland,FIN
41,Finland,FIN
42,Finland,FIN
43,Finland,FIN
44,Finland,FIN
45,Finland,FIN
46,Finland,FIN
47,Finland,FIN
48,Norway,NOR
49,Norway,NOR
50,Norway,NOR
51,Norway,NOR
52,Norway,NOR
53,Norway,NOR
54,Norway,NOR
55,Norway,NOR
56,Norway,NOR
57,Norway,NOR
58,Norway,NOR
59,Norway,NOR
60,Norway,NOR
61,Norway,NOR
62,Norway,NOR
63,Norway,NOR
64,Norway,NOR
65,Norway,NOR
66,Norway,NOR
67,Norway,NOR
68,Romania,ROU
69,Norway,NOR
70,Norway,NOR
71,Norway,NOR
72,Norway,NOR
73,Norway,NOR
74,Netherlands,NED
75,Netherlands,NED
76,Estonia,EST
77,Finland,FIN
78,Finland,FIN
79,France,FRA
80,Norway,NOR
81,Netherlands,NED
82,Netherlands,NED
83,Netherlands,NED
84,Netherlands,NED
85,Netherlands,NED
86,Norway,NOR
87,Norway,NOR
88,Estonia,EST
89,Estonia,EST
90,Estonia,EST
91,Estonia,EST
92,Estonia,EST
93,Norway,NOR
94,Norway,NOR
95,Norway,NOR
96,Norway,NOR
97,Norway,NOR
98,Norway,NOR
99,Norway,NOR
100,Norway,NOR
101,Norway,NOR
102,Estonia,EST
103,Estonia,EST
104,Estonia,EST
105,Estonia,EST
106,Spain,ESP
107,Spain,ESP
108,Spain,ESP
109,Spain,ESP
110,Spain,ESP
111,Spain,ESP
112,France,FRA
113,Egypt,EGY
114,Spain,ESP
115,Bulgaria,BUL
116,Bulgaria,BUL
117,Bulgaria,BUL
118,Bulgaria,BUL
119,Bulgaria,BUL
120,Italy,ITA
121,Spain,ESP
122,Azerbaijan,AZE
123,Russia,RUS
124,Russia,RUS
125,Argentina,ARG
126,Argentina,ARG
127,Spain,ESP
128,Cuba,CUB
129,Cuba,CUB
130,Cuba,CUB
131,Belarus,BLR
132,Belarus,BLR
133,France,FRA
134,France,FRA
135,France,FRA
136,Argentina,ARG
137,Greece,GRE
138,Cameroon,CMR
139,Cameroon,CMR
140,Spain,ESP
141,Greece,GRE
142,Mexico,MEX
143,United States,USA
144,Spain,ESP
145,Spain,ESP
146,Spain,ESP
147,Spain,ESP
148,Spain,ESP
149,Soviet Union,URS
150,Soviet Union,URS
151,Russia,RUS
152,Russia,RUS
153,Italy,ITA
154,Italy,ITA
155,France,FRA
156,France,FRA
157,Greece,GRE
158,Nicaragua,NCA
159,Nicaragua,NCA
160,Mexico,MEX
161,Mexico,MEX
162,Mexico,MEX
163,Hungary,HUN
164,Nigeria,NGR
165,Algeria,ALG
166,Algeria,ALG
167,Italy,ITA
168,Italy,ITA
169,Italy,ITA
170,Italy,ITA
171,Italy,ITA
172,Italy,ITA
173,Italy,ITA
174,Italy,ITA
175,Italy,ITA
176,Italy,ITA
177,Italy,ITA
178,Kuwait,KUW
179,Kuwait,KUW
180,Kuwait,KUW
181,Bahrain,BRN
182,Pakistan,PAK
183,Iraq,IRQ
184,Iraq,IRQ
185,Kuwait,KUW
186,Pakistan,PAK
187,Lebanon,LIB
188,Lebanon,LIB
189,Egypt,EGY
190,Iraq,IRQ
191,Pakistan,PAK
192,Qatar,QAT
193,Pakistan,PAK
194,Pakistan,PAK
195,Pakistan,PAK
196,Malaysia,MAS
197,Iran,IRI
198,Pakistan,PAK
199,Pakistan,PAK
200,Pakistan,PAK
201,Iran,IRI
202,Azerbaijan,AZE
203,Azerbaijan,AZE
204,Azerbaijan,AZE
205,Italy,ITA
206,Italy,ITA
207,Netherlands,NED
208,Italy,ITA
209,Italy,ITA
210,Italy,ITA
211,Iraq,IRQ
212,Canada,CAN
213,Canada,CAN
214,Ireland,IRL
215,Ireland,IRL
216,United States,USA
217,Australia,AUS
218,South Africa,RSA
219,United States,USA
220,United States,USA
221,United States,USA
222,Canada,CAN
223,Canada,CAN
224,Canada,CAN
225,United States,USA
226,Canada,CAN
227,United States,USA
228,Morocco,MAR
229,Egypt,EGY
230,Egypt,EGY
231,Egypt,EGY
232,Egypt,EGY
233,Egypt,EGY
234,Egypt,EGY
235,Egypt,EGY
236,Egypt,EGY
237,Egypt,EGY
238,Eritrea,ERI
239,Egypt,EGY
240,United States,USA
241,Tanzania,TAN
242,Tanzania,TAN
243,Kuwait,KUW
244,Jordan,JOR
245,Egypt,EGY
246,Egypt,EGY
247,Egypt,EGY
248,Egypt,EGY
249,Sudan,SUD
250,Sudan,SUD
251,Egypt,EGY
252,Egypt,EGY
253,Egypt,EGY
254,Egypt,EGY
255,Egypt,EGY
256,Egypt,EGY
257,Egypt,EGY
258,Tunisia,TUN
259,Egypt,EGY
260,Egypt,EGY
261,Egypt,EGY
262,Egypt,EGY
263,Egypt,EGY
264,Egypt,EGY
265,Egypt,EGY
266,Egypt,EGY
267,Libya,LBA
268,Egypt,EGY
269,Egypt,EGY
270,Egypt,EGY
271,Egypt,EGY
272,Egypt,EGY
273,Egypt,EGY
274,Egypt,EGY
275,Egypt,EGY
276,Egypt,EGY
277,Egypt,EGY
278,Egypt,EGY
279,Egypt,EGY
280,Egypt,EGY
281,Egypt,EGY
282,Egypt,EGY
283,Egypt,EGY
284,Egypt,EGY
285,Egypt,EGY
286,Egypt,EGY
287,Sudan,SUD
288,Egypt,EGY
289,Egypt,EGY
290,Egypt,EGY
291,Egypt,EGY
292,Algeria,ALG
293,Egypt,EGY
294,Egypt,EGY
295,Egypt,EGY
296,Egypt,EGY
297,Egypt,EGY
298,Egypt,EGY
299,Egypt,EGY
300,Egypt,EGY
301,Egypt,EGY
302,Egypt,EGY
303,Algeria,ALG
304,Algeria,ALG
305,Algeria,ALG
306,Algeria,ALG
307,Algeria,ALG
308,Iran,IRI
309,Iran,IRI
310,Belgium,BEL
311,Belgium,BEL
312,Australia,AUS
313,Australia,AUS
314,Qatar,QAT
315,Qatar,QAT
316,Djibouti,DJI
317,Djibouti,DJI
318,United States,USA
319,United States,USA
320,United States,USA
321,United States,USA
322,Australia,AUS
323,Australia,AUS
324,Australia,AUS
325,Canada,CAN
326,Canada,CAN
327,Canada,CAN
328,Iran,IRI
329,Cameroon,CMR
330,Comoros,COM
331,Canada,CAN
332,Egypt,EGY
333,Egypt,EGY
334,Egypt,EGY
335,Egypt,EGY
336,Egypt,EGY
337,Cameroon,CMR
338,Egypt,EGY
339,Kazakhstan,KAZ
340,Brunei,BRU
341,Iraq,IRQ
342,Kuwait,KUW
343,Malaysia,MAS
344,Malaysia,MAS
345,Egypt,EGY
346,Egypt,EGY
347,Egypt,EGY
348,Brunei,BRU
349,Brunei,BRU
350,Sudan,SUD
351,Iraq,IRQ
352,Iraq,IRQ
353,Saudi Arabia,KSA
354,Kuwait,KUW
355,Kuwait,KUW
356,Iraq,IRQ
357,Qatar,QAT
358,Maldives,MDV
359,Saudi Arabia,KSA
360,Iran,IRI
361,Jordan,JOR
362,Ethiopia,ETH
363,Malaysia,MAS
364,Pakistan,PAK
365,Pakistan,PAK
366,Iraq,IRQ
367,Iraq,IRQ
368,Saudi Arabia,KSA
369,Indonesia,INA
370,Iraq,IRQ
371,Iraq,IRQ
372,Nigeria,NGR
373,Nigeria,NGR
374,Nigeria,NGR
375,Nigeria,NGR
376,Canada,CAN
377,Egypt,EGY
378,Soviet Union,URS
379,Philippines,PHI
380,Philippines,PHI
381,Philippines,PHI
382,Philippines,PHI
383,Philippines,PHI
384,Qatar,QAT
385,Egypt,EGY
386,United States,USA
387,Malaysia,MAS
388,Malaysia,MAS
389,Malaysia,MAS
390,Malaysia,MAS
391,Azerbaijan,AZE
392,Azerbaijan,AZE
393,Azerbaijan,AZE
394,Uzbekistan,UZB
395,Uzbekistan,UZB
396,Uzbekistan,UZB
397,Uzbekistan,UZB
398,Azerbaijan,AZE
399,Azerbaijan,AZE
