,ID,Medal
0,1,Na
1,2,Na
2,5,Na
3,5,Na
4,5,Na
5,5,Na
6,5,Na
7,5,Na
8,6,Na
9,6,Na
10,6,Na
11,6,Na
12,6,Na
13,6,Na
14,6,Na
15,6,Na
16,7,Na
17,7,Na
18,7,Na
19,7,Na
20,7,Na
21,7,Na
22,7,Na
23,7,Na
24,9,Na
25,11,Na
26,12,Na
27,13,Na
28,13,Na
29,14,Na
30,16,Bronze
31,17,Bronze
32,17,Gold
33,17,Na
34,17,Gold
35,17,Na
36,17,Na
37,17,Na
38,17,Gold
39,17,Na
40,17,Bronze
41,17,Na
42,17,Na
43,17,Na
44,17,Na
45,17,Na
46,17,Na
47,18,Na
48,20,Na
49,20,Gold
50,20,Bronze
51,20,Na
52,20,Silver
53,20,Bronze
54,20,Na
55,20,Na
56,20,Silver
57,20,Na
58,20,Na
59,20,Na
60,20,Na
61,20,Na
62,20,Gold
63,20,Na
64,20,Na
65,20,Gold
66,20,Na
67,20,Gold
68,22,Na
69,23,Na
70,23,Na
71,26,Na
72,28,Na
73,28,Na
74,30,Silver
75,30,Na
76,31,Na
77,33,Na
78,33,Na
79,34,Na
80,35,Na
81,36,Na
82,36,Na
83,36,Na
84,36,Na
85,36,Na
86,37,Bronze
87,43,Na
88,44,Na
89,44,Na
90,44,Na
91,44,Na
92,44,Na
93,46,Na
94,46,Na
95,46,Na
96,46,Na
97,46,Na
98,47,Na
99,47,Na
100,47,Na
101,47,Na
102,49,Na
103,49,Na
104,50,Na
105,50,Na
106,51,Na
107,51,Na
108,51,Na
109,51,Na
110,51,Na
111,51,Na
112,52,Na
113,53,Na
114,55,Na
115,57,Na
116,59,Na
117,59,Na
118,60,Na
119,61,Na
120,62,Bronze
121,63,Bronze
122,65,Bronze
123,67,Silver
124,67,Na
125,68,Na
126,68,Na
127,69,Na
128,70,Na
129,71,Na
130,71,Na
131,72,Na
132,72,Gold
133,73,Gold
134,73,Gold
135,73,Silver
136,74,Na
137,75,Na
138,76,Gold
139,77,Na
140,80,Gold
141,81,Na
142,82,Na
143,84,Silver
144,85,Na
145,85,Gold
146,85,Na
147,86,Na
148,86,Bronze
149,87,Na
150,88,Na
151,90,Silver
152,90,Na
153,91,Na
154,92,Na
155,93,Na
156,93,Gold
157,95,Na
158,96,Na
159,97,Na
160,98,Na
161,98,Na
162,98,Na
163,99,Silver
164,101,Na
165,105,Na
166,105,Na
167,106,Gold
168,106,Gold
169,106,Gold
170,107,Gold
171,107,Gold
172,107,Silver
173,107,Na
174,108,Na
175,108,Gold
176,108,Gold
177,108,Silver
178,109,Na
179,109,Na
180,109,Na
181,110,Na
182,111,Na
183,112,Na
184,113,Na
185,114,Na
186,115,Na
187,117,Na
188,117,Na
189,118,Na
190,120,Na
191,121,Na
192,122,Na
193,123,Na
194,123,Na
195,123,Na
196,125,Na
197,126,Na
198,127,Na
199,127,Na
200,127,Na
201,128,Na
202,129,Na
203,130,Na
204,131,Na
205,132,Na
206,134,Na
207,135,Na
208,136,Na
209,137,Na
210,137,Na
211,138,Na
212,140,Na
213,140,Na
214,141,Na
215,141,Na
216,142,Na
217,143,Bronze
218,144,Na
219,145,Na
220,145,Na
221,145,Bronze
222,146,Na
223,147,Na
224,148,Na
225,149,Na
226,152,Na
227,153,Silver
228,154,Na
229,155,Na
230,155,Na
231,155,Na
232,156,Na
233,157,Na
234,157,Na
235,159,Na
236,159,Na
237,159,Na
238,160,Na
239,161,Na
240,165,Silver
241,166,Na
242,166,Na
243,168,Na
244,169,Na
245,170,Na
246,171,Na
247,172,Na
248,177,Na
249,178,Na
250,178,Na
251,180,Na
252,180,Na
253,181,Na
254,184,Na
255,187,Na
256,188,Na
257,192,Na
258,196,Na
259,197,Na
260,199,Na
261,199,Na
